Agente	Frase	Rodada
EmpMaq - PrefeitaATLANTIS	Caso não queiram mais realizar negociações, vamos encerrar nossas atividades.	2
AgCD2 / PrefeitoCD	Eu não recebi resposta ainda	2
EmpMaq - PrefeitaATLANTIS	AgCD2 fechamos em 4 pacotes 2 pelo preço normal e 2 pacotes 3 pelo preço normal	2
AgCD2 / PrefeitoCD	Certo, obrigado	2
EmpMaq - PrefeitaATLANTIS	você quer mudar algo ?	2
AgCD2 / PrefeitoCD	Não, eu só queria confirmação	2
EmpMaq - PrefeitaATLANTIS	ok	2
AgCD2 / PrefeitoCD	AgCD2 - Gostaria de alugar 3 pacotes 3 e 3 pacotes 2. Consegue fazer pelo preço baixo?	3
AgCD3 | VerCD	AgCD3 -- Olá! Gostaria de comprar 6 (SEIS) unidades do PACOTE 3 pelo preço BAIXO!	3
EmpMaq - PrefeitaATLANTIS	Bom dia a todos, estamos em um tempo de dificuldades desta maneira os preços estão normal e altos. Disponibilizo 2 pacotes do tipo 3 a preço normal e os outros preço alto	3
AgCD1 - Fiscal Cidadela	AgCD1 - Olá, gostaria de comprar 3 unidades do pacote 2 e 3 unidades do pacote 3	3
AgCD1 - Fiscal Cidadela	Tem que dividir o pacote 3 então	3
EmpMaq - PrefeitaATLANTIS	4 pacotes do tipo 2 a preço normal e o resto preço alto. e pacote do tipo 1 a preço normal	3
AgCD2 / PrefeitoCD	Quero os 4 pacotes tipo 2 e os 2 tipo 3 a preço normal então, pode ser?	3
AgCD2 / PrefeitoCD	AgCD3 /\	3
EmpMaq - PrefeitaATLANTIS	certo AgCD3 6 pacotes ao total.	3
AgCD2 / PrefeitoCD	Não é cd2?	3
AgCD1 - Fiscal Cidadela	AgCD1 - quero 3 do pacote 2 e 3 do pacote 3	3
EmpMaq - PrefeitaATLANTIS	não sei você que falou, algo o seu ?	3
AgCD2 / PrefeitoCD	Eu tinha dito 4 tipo 2 e 2 tipo 3 a preço normal, que era o que tu tinha comentaod antes	3
AgCD2 / PrefeitoCD	Fechado?	3
EmpMaq - PrefeitaATLANTIS	fechado voce é o agcd3 correto ?	3
AgCD2 / PrefeitoCD	AgCD2	3
AgCD2 / PrefeitoCD	2	3
EmpMaq - PrefeitaATLANTIS	ok	3
AgCD2 / PrefeitoCD	Obrigado	3
EmpMaq - PrefeitaATLANTIS	AgCD1  preços apenas altos agora, ok?	3
AgCD3 | VerCD	Eu quero 6 pacotes do tipo 3... Era isso que vc confirmou?	3
AgCD3 | VerCD	AgCD3	3
AgCD1 - Fiscal Cidadela	AgCD1 - eu fui a segunda a pedir	3
AgCD1 - Fiscal Cidadela	isso está errado	3
AgCD1 - Fiscal Cidadela	Gostaria de 3 do pacote 2 e 3 do pacote 3	3
EmpMaq - PrefeitaATLANTIS	O pedido que se confirmou foi o do agcd2, agora disponibilizamos apenas pacotes altos 2 e 3, pacote normal 1 e pulverizantes baixos	3
EmpMaq - PrefeitaATLANTIS	agcd1 gostaria de fazer o pedido com o valor alto  totalizando 5 pacotes ?	3
AgCD1 - Fiscal Cidadela	AgCD1 - Gostaria de 6 pacotes	3
